OM label,OM ID
absorbed dose rate,http://www.ontology-of-units-of-measure.org/resource/om-2/AbsorbedDoseRate
absorbed dose rate dimension,http://www.ontology-of-units-of-measure.org/resource/om-2/absorbedDoseRate-Dimension
absorbed dose rate unit,http://www.ontology-of-units-of-measure.org/resource/om-2/AbsorbedDoseRateUnit
abvolt,http://www.ontology-of-units-of-measure.org/resource/om-2/abvolt
acceleration,http://www.ontology-of-units-of-measure.org/resource/om-2/Acceleration
acceleration dimension,http://www.ontology-of-units-of-measure.org/resource/om-2/acceleration-Dimension
acetic acid mass fraction,http://www.ontology-of-units-of-measure.org/resource/om-2/AceticAcidMassFraction
acidity,http://www.ontology-of-units-of-measure.org/resource/om-2/Acidity
acoustic firmness,http://www.ontology-of-units-of-measure.org/resource/om-2/AcousticFirmness
acoustics,http://www.ontology-of-units-of-measure.org/resource/om-2/acoustics
acre (US survey),http://www.ontology-of-units-of-measure.org/resource/om-2/acre-USSurvey
acre (international),http://www.ontology-of-units-of-measure.org/resource/om-2/acre-International
acre foot,http://www.ontology-of-units-of-measure.org/resource/om-2/acreFoot
action,http://www.ontology-of-units-of-measure.org/resource/om-2/Action
action or angular momentum dimension,http://www.ontology-of-units-of-measure.org/resource/om-2/actionOrAngularMomentum-Dimension
action unit,http://www.ontology-of-units-of-measure.org/resource/om-2/ActionUnit
activity,http://www.ontology-of-units-of-measure.org/resource/om-2/Activity
activity unit,http://www.ontology-of-units-of-measure.org/resource/om-2/ActivityUnit
admittance,http://www.ontology-of-units-of-measure.org/resource/om-2/Admittance
albedo,http://www.ontology-of-units-of-measure.org/resource/om-2/Albedo
altitude,http://www.ontology-of-units-of-measure.org/resource/om-2/Altitude
ambient dose equivalent,http://www.ontology-of-units-of-measure.org/resource/om-2/AmbientDoseEquivalent
amount of money,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
amount of money unit,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoneyUnit
amount of substance,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfSubstance
amount of substance concentration,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfSubstanceConcentration
amount of substance concentration dimension,http://www.ontology-of-units-of-measure.org/resource/om-2/amountOfSubstanceConcentration-Dimension
amount of substance concentration unit,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfSubstanceConcentrationUnit
amount of substance dimension,http://www.ontology-of-units-of-measure.org/resource/om-2/amountOfSubstance-Dimension
amount of substance flow,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfSubstanceFlow
amount of substance flow unit,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfSubstanceFlowUnit
amount of substance fraction,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfSubstanceFraction
amount of substance fraction flow,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfSubstanceFractionFlow
amount of substance fraction unit,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfSubstanceFractionUnit
amount of substance of a system that contains as many elementary entities as there are atoms in 0.012 kilogram of carbon 12,http://www.ontology-of-units-of-measure.org/resource/om-2/amountOfSubstanceOfASystemThatContainsAsManyElementaryEntitiesAsThereAreAtomsIn0.012KilogramOfCarbon12
amount of substance unit,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfSubstanceUnit
ampere hour,http://www.ontology-of-units-of-measure.org/resource/om-2/ampereHour
ampere per metre,http://www.ontology-of-units-of-measure.org/resource/om-2/amperePerMetre
ampere per square metre,http://www.ontology-of-units-of-measure.org/resource/om-2/amperePerSquareMetre
ampere per volt,http://www.ontology-of-units-of-measure.org/resource/om-2/amperePerVolt
ampere per watt,http://www.ontology-of-units-of-measure.org/resource/om-2/amperePerWatt
amphiphilicity,http://www.ontology-of-units-of-measure.org/resource/om-2/Amphiphilicity
amplitude,http://www.ontology-of-units-of-measure.org/resource/om-2/Amplitude
amylase unit,http://www.ontology-of-units-of-measure.org/resource/om-2/amylaseUnit
angle,http://www.ontology-of-units-of-measure.org/resource/om-2/Angle
angular acceleration,http://www.ontology-of-units-of-measure.org/resource/om-2/AngularAcceleration
angular acceleration dimension,http://www.ontology-of-units-of-measure.org/resource/om-2/angularAcceleration-Dimension
angular displacement,http://www.ontology-of-units-of-measure.org/resource/om-2/AngularDisplacement
angular momentum,http://www.ontology-of-units-of-measure.org/resource/om-2/AngularMomentum
angular momentum unit,http://www.ontology-of-units-of-measure.org/resource/om-2/AngularMomentumUnit
angular size,http://www.ontology-of-units-of-measure.org/resource/om-2/AngularSize
angular speed,http://www.ontology-of-units-of-measure.org/resource/om-2/AngularSpeed
angular speed dimension,http://www.ontology-of-units-of-measure.org/resource/om-2/angularSpeed-Dimension
angular speed unit,http://www.ontology-of-units-of-measure.org/resource/om-2/AngularSpeedUnit
angular velocity,http://www.ontology-of-units-of-measure.org/resource/om-2/AngularVelocity
annual aberration,http://www.ontology-of-units-of-measure.org/resource/om-2/AnnualAberration
apparent diameter,http://www.ontology-of-units-of-measure.org/resource/om-2/ApparentDiameter
apparent distance modulus,http://www.ontology-of-units-of-measure.org/resource/om-2/ApparentDistanceModulus
apparent magnitude,http://www.ontology-of-units-of-measure.org/resource/om-2/ApparentMagnitude
application area,http://www.ontology-of-units-of-measure.org/resource/om-2/ApplicationArea
are,http://www.ontology-of-units-of-measure.org/resource/om-2/are
area,http://www.ontology-of-units-of-measure.org/resource/om-2/Area
area density,http://www.ontology-of-units-of-measure.org/resource/om-2/AreaDensity
