ID,LABEL,Type,SubClass Of,Equivalent Class,comment,hasExactSynonym,hasRelatedSynonym
UO:0000041,nanomole,Class,substance unit,'mole based unit' and (obo:has_prefix some nano)|{nanomole},"""A substance unit equal to one thousandth of one millionth of a mole or 10^[-9] mol."" [NIST:NIST]",nmol,
UO:0000041,nanomole,Named individual,,,"""A substance unit equal to one thousandth of one millionth of a mole or 10^[-9] mol."" [NIST:NIST]",nmol,
UO:0000042,picomole,Class,substance unit,'mole based unit' and (obo:has_prefix some pico)|{picomole},"""A substance unit equal to 10^[-12] mol."" [NIST:NIST]",pmol,
UO:0000042,picomole,Named individual,,,"""A substance unit equal to 10^[-12] mol."" [NIST:NIST]",pmol,
UO:0000043,femtomole,Class,substance unit,'mole based unit' and (obo:has_prefix some femto)|{femtomole},"""A substance unit equal to 10^[-15] mol."" [NIST:NIST]",fmol,
UO:0000043,femtomole,Named individual,,,"""A substance unit equal to 10^[-15] mol."" [NIST:NIST]",fmol,
UO:0000044,attomole,Class,substance unit,'mole based unit' and (obo:has_prefix some atto)|{attomole},"""A substance unit equal to 10^[-18] mol."" [NIST:NIST]",amol,
UO:0000044,attomole,Named individual,,,"""A substance unit equal to 10^[-18] mol."" [NIST:NIST]",amol,
UO:0000045,base unit,Class,unit,,"""A unit which is one of a particular measure to which all measures of that type can be related."" [NIST:NIST]",,
UO:0000046,prefix,Class,,,,,
UO:0000047,area unit,Class,obo:is_unit_of only (PATO:0001709)|unit,,"""A unit which is a standard measure of the amount of a 2-dimensional flat surface."" [UOC:GVG]",,
UO:0000048,acceleration unit,Class,obo:is_unit_of only (PATO:0001028)|unit,,"""A unit which is a standard measure of the rate of change of velocity in either speed or direction."" [Wikipedia:Wikipedia]",,
UO:0000049,angular velocity unit,Class,obo:is_unit_of only (PATO:0001413)|unit,,"""A unit which is a standard measure of the rate of angular movement about an axis; the angle rotated in a given time."" [Wikipedia:Wikipedia]",,
UO:0000050,angular acceleration unit,Class,obo:is_unit_of only (PATO:0001350)|unit,,"""A unit which is a standard measure of the rate of change of angular velocity."" [Wikipedia:Wikipedia]",,
UO:0000051,concentration unit,Class,obo:is_unit_of only (PATO:0000033)|unit,,"""A unit which represents a standard measurement of how much of a given substance there is mixed with another substance."" [UOC:GVG]",,
UO:0000052,mass density unit,Class,density unit|obo:is_unit_of only (PATO:0001353),,"""A density unit which is a standard measure of the mass of a substance in a given volume."" [UOC:GVG]",mass per unit volume,
UO:0000053,luminance unit,Class,light unit|obo:is_unit_of only (PATO:0001718),,"""A unit which is a standard measure of the luminous intensity impinging on a given area."" [Wikipedia:Wikipedia]",,
UO:0000054,area density unit,Class,density unit|obo:is_unit_of only (PATO:0001351),,"""A density unit which is a standard measure of the mass exerting an influence on a given area."" [Wikipedia:Wikipedia]",mass per unit area unit,
UO:0000055,molar mass unit,Class,mass unit|obo:is_unit_of only (PATO:0001681),,"""A unit which is a standard measure of the mass of a homogeneous substance containing 6.02 x 1023 atoms or molecules."" [Wikipedia:Wikipedia]",,
