ID,LABEL,Type,SubClass Of,is_unit_of,Equivalent Class,comment,hasExactSynonym,hasRelatedSynonym,,,,,,,,,,,,,,,,,,
ID,A rdfs:label,TYPE,SC % SPLIT=|,SC (is_unit_of only %) SPLIT=|,EC % SPLIT=|,A rdfs:comment,A oboInOwl:hasExactSynonym SPLIT=|,A oboInOwl:hasRelatedSynonym SPLIT=|,,,,,,,,,,,,,,,,,,
UO:0000035,month,named individual,,,,"""A time unit which is approximately equal to the length of time of one of cycle of the moon's phases which in science is taken to be equal to 30 days."" [Wikipedia:Wikipedia]",,,,,,,,,,,,,,,,,,,,
UO:0000036,year,class,time unit|year based unit,,{year},"""A time unit which is equal to 12 months which in science is taken to be equal to 365.25 days."" [Wikipedia:Wikipedia]",,,,,,,,,,,,,,,,,,,,
UO:0000036,year,named individual,,,,"""A time unit which is equal to 12 months which in science is taken to be equal to 365.25 days."" [Wikipedia:Wikipedia]",,,,,,,,,,,,,,,,,,,,
UO:0000037,milliampere,class,electric current unit,,('ampere based unit' and ('has prefix' some milli))|{milliampere},"""An electric current unit current which is equal to one thousandth of an ampere or 10^[-3] A."" [UOC:GVG]",mA,,,,,,,,,,,,,,,,,,,
UO:0000037,milliampere,named individual,,,,"""An electric current unit current which is equal to one thousandth of an ampere or 10^[-3] A."" [UOC:GVG]",mA,,,,,,,,,,,,,,,,,,,
UO:0000038,microampere,class,electric current unit,,('ampere based unit' and ('has prefix' some micro))|{microampere},"""An electric current unit current which is equal to one millionth of an ampere or 10^[-6] A."" [UOC:GVG]",uA,,,,,,,,,,,,,,,,,,,
UO:0000038,microampere,named individual,,,,"""An electric current unit current which is equal to one millionth of an ampere or 10^[-6] A."" [UOC:GVG]",uA,,,,,,,,,,,,,,,,,,,
UO:0000039,micromole,class,substance unit,,('mole based unit' and ('has prefix' some micro))|{micromole},"""A substance unit equal to a millionth of a mol or 10^[-6] mol."" [NIST:NIST]",umol,,,,,,,,,,,,,,,,,,,
UO:0000039,micromole,named individual,,,,"""A substance unit equal to a millionth of a mol or 10^[-6] mol."" [NIST:NIST]",umol,,,,,,,,,,,,,,,,,,,
UO:0000040,millimole,class,substance unit,,('mole based unit' and ('has prefix' some milli))|{millimole},"""A substance unit equal to a thousandth of a mol or 10^[-3] mol."" [NIST:NIST]",mmol,,,,,,,,,,,,,,,,,,,
UO:0000040,millimole,named individual,,,,"""A substance unit equal to a thousandth of a mol or 10^[-3] mol."" [NIST:NIST]",mmol,,,,,,,,,,,,,,,,,,,
UO:0000041,nanomole,class,substance unit,,('mole based unit' and ('has prefix' some nano))|{nanomole},"""A substance unit equal to one thousandth of one millionth of a mole or 10^[-9] mol."" [NIST:NIST]",nmol,,,,,,,,,,,,,,,,,,,
UO:0000041,nanomole,named individual,,,,"""A substance unit equal to one thousandth of one millionth of a mole or 10^[-9] mol."" [NIST:NIST]",nmol,,,,,,,,,,,,,,,,,,,
UO:0000042,picomole,class,substance unit,,('mole based unit' and ('has prefix' some pico))|{picomole},"""A substance unit equal to 10^[-12] mol."" [NIST:NIST]",pmol,,,,,,,,,,,,,,,,,,,
