ID,LABEL,SubClass Of,Equivalent Class,database_cross_reference
ENVO:01001340,semi-diurnal marine tidal flow zone,'contains process' some 'semi-diurnal marine tidal flow process'|marine tidal flow zone,,https://cmecscatalog.org/cmecs/classification/unit/666.html
ENVO:01001341,marine tidal flow zone,'contains process' some 'marine tidal flow process'|'part of' some ocean|marine environmental zone|overlaps some 'sea coast',,
ENVO:01001342,tidal flow process,'has part' some ('advective transport process' and ('has participant' some 'liquid water'))|water flow process,,
ENVO:01001343,semi-diurnal marine tidal flow process,'has quality' some discontinuous|'occurs in' some 'semi-diurnal marine tidal flow zone'|marine tidal flow process,,
ENVO:01001344,freshwater seep riverine anchor ice,'adjacent to' some 'river mouth'|riverine anchor ice,,
ENVO:01001345,floating ice mass,ice mass,'ice mass' and (partially_surrounded_by some 'water body') and (partially_surrounded_by some atmosphere) and ('has quality' some buoyancy),
ENVO:01001346,erosion,'has participant' some 'environmental material'|'has participant' some 'planetary crust'|material transport process,,
ENVO:01001347,glacial equlibrium line,'adjacent to' some 'glacial ice ablation zone'|'adjacent to' some 'glacial ice accumulation zone'|'contains process' some 'glacial ice ablation process'|'contains process' some 'glacial ice gain'|'has quality' some linear|environmental zone of processual equilibrium,,
ENVO:01001348,material accumulation zone,'contains process' some 'material accumulation process'|environmental zone,,
ENVO:01001349,material decumulation zone,'contains process' some 'material decumulation process'|environmental zone,,
ENVO:01001350,ice accumulation zone,'contains process' some 'ice gain'|material accumulation zone,'material accumulation zone' and (overlaps some 'ice mass'),
ENVO:01001351,ice decumulation zone,'contains process' some 'ice loss process'|material decumulation zone,,
ENVO:01001352,glacial ice accumulation zone,'contains process' some 'glacial ice gain'|ice accumulation zone|overlaps some glacier,,http://sweetontology.net/realmCryo/AccumulationZone
ENVO:01001353,environmental zone of processual equilibrium,'contains process' min 2 'environmental system process'|environmental zone,,
ENVO:01001354,volcanic crater glacier,'contained in' some 'volcanic crater zone'|glacier,,
ENVO:01001355,crater zone,environmental zone|partially_surrounded_by some crater,,
ENVO:01001356,volcanic crater zone,crater zone|partially_surrounded_by some 'volcanic crater',,
